timestamp,source_ip,target_ip,port,path,status_code,username,login_success,method,protocol,host,user_agent,bytes_sent,duration_ms,tls_fingerprint
2026-07-08T10:00:00,192.168.1.20,10.0.0.5,21,/index,200,,,GET,tcp,lab.local,Mozilla/5.0,420,40,
2026-07-08T10:00:05,192.168.1.20,10.0.0.5,22,/index,200,,,GET,tcp,lab.local,Mozilla/5.0,418,42,
2026-07-08T10:00:10,192.168.1.20,10.0.0.5,23,/index,200,,,GET,tcp,lab.local,Mozilla/5.0,416,39,
2026-07-08T10:00:15,192.168.1.20,10.0.0.5,80,/index,200,,,GET,tcp,lab.local,Mozilla/5.0,423,37,
2026-07-08T10:00:20,192.168.1.20,10.0.0.5,443,/index,200,,,GET,tcp,lab.local,Mozilla/5.0,430,41,ja3-browser
2026-07-08T10:01:00,172.16.0.8,10.0.0.10,22,/login,401,admin,false,POST,tcp,auth.lab,python-requests/2.31,210,88,
2026-07-08T10:01:10,172.16.0.8,10.0.0.10,22,/login,401,admin,false,POST,tcp,auth.lab,python-requests/2.31,212,90,
2026-07-08T10:01:20,172.16.0.8,10.0.0.10,22,/login,401,admin,false,POST,tcp,auth.lab,python-requests/2.31,214,92,
2026-07-08T10:01:30,172.16.0.8,10.0.0.10,22,/login,401,admin,false,POST,tcp,auth.lab,python-requests/2.31,211,91,
2026-07-08T10:01:40,172.16.0.8,10.0.0.10,22,/login,401,admin,false,POST,tcp,auth.lab,python-requests/2.31,210,89,
2026-07-08T10:02:00,203.0.113.9,10.0.0.20,80,/.env,404,,,GET,tcp,web.lab,curl/8.0,180,33,
2026-07-08T10:02:05,203.0.113.9,10.0.0.20,80,/phpmyadmin,404,,,GET,tcp,web.lab,curl/8.0,182,31,
2026-07-08T10:02:10,203.0.113.9,10.0.0.20,80,/admin,404,,,GET,tcp,web.lab,curl/8.0,181,32,
2026-07-08T10:02:15,203.0.113.9,10.0.0.20,80,/wp-admin,404,,,GET,tcp,web.lab,curl/8.0,179,34,
2026-07-08T10:02:20,203.0.113.9,10.0.0.20,80,/missing,404,,,GET,tcp,web.lab,curl/8.0,178,35,
2026-07-08T10:02:25,203.0.113.9,10.0.0.20,80,/missing2,404,,,GET,tcp,web.lab,curl/8.0,180,33,
2026-07-08T10:02:30,203.0.113.9,10.0.0.20,80,/missing3,404,,,GET,tcp,web.lab,curl/8.0,177,37,
2026-07-08T10:02:35,203.0.113.9,10.0.0.20,80,/missing4,404,,,GET,tcp,web.lab,curl/8.0,176,38,
2026-07-08T10:02:40,203.0.113.9,10.0.0.20,80,/missing5,404,,,GET,tcp,web.lab,curl/8.0,175,39,
2026-07-08T10:03:00,198.51.100.2,10.0.0.30,80,/home,200,,,GET,tcp,portal.lab,load-tester,1200,20,
2026-07-08T10:03:02,198.51.100.2,10.0.0.30,80,/home,200,,,GET,tcp,portal.lab,load-tester,1201,20,
2026-07-08T10:03:04,198.51.100.2,10.0.0.30,80,/home,200,,,GET,tcp,portal.lab,load-tester,1199,20,
2026-07-08T10:03:06,198.51.100.2,10.0.0.30,80,/home,200,,,GET,tcp,portal.lab,load-tester,1203,20,
2026-07-08T10:03:08,198.51.100.2,10.0.0.30,80,/home,200,,,GET,tcp,portal.lab,load-tester,1205,20,
2026-07-08T10:03:10,198.51.100.2,10.0.0.30,80,/home,200,,,GET,tcp,portal.lab,load-tester,1206,20,
2026-07-08T10:03:12,198.51.100.2,10.0.0.30,80,/home,200,,,GET,tcp,portal.lab,load-tester,1202,20,
